"2.- Resúmenes comparativos por CCAA";;;;;;;;;;;;;;;;;;;;
"    Encuesta de Población Activa. Principales Resultados";;;;;;;;;;;;;;;;;;;;
"Ocupados por comunidad autónoma y sector económico (4).";;;;;;;;;;;;;;;;;;;;
"Unidades:miles de personas";;;;;;;;;;;;;;;;;;;;
;Total;Andalucía;Aragón;"Asturias (Principado de)";"Balears (Illes)";Canarias;Cantabria;"Castilla y León";"Castilla - La Mancha";Cataluña;"Comunidad Valenciana";Extremadura;Galicia;"Madrid (Comunidad de)";"Murcia (Región de)";"Navarra (Comunidad Foral de)";"País Vasco";"Rioja (La)";"Ceuta y Melilla";
"   1999TII";14508.5;2164.2;444.9;337.1;325.2;621.3;178.8;869.0;583.5;2568.8;1527.1;324.6;981.4;2016.8;396.7;220.4;806.2;101.2;41.5;
"   1999TIII";14726.1;2177.8;458.3;346.1;339.6;618.6;179.2;882.0;594.5;2628.2;1514.0;338.5;1011.7;2052.1;403.2;225.1;811.9;103.2;42.3;
"   1999TIV";14824.7;2200.2;457.7;341.8;332.1;638.1;180.2;882.0;594.4;2615.4;1573.4;334.3;1000.8;2072.5;411.9;223.6;820.4;103.4;42.5;
"   2000TI";14987.8;2252.1;463.0;343.6;330.7;643.5;183.6;879.5;605.1;2632.7;1596.3;339.0;1008.2;2095.1;417.5;226.0;826.2;102.6;42.9;
"   2000TII";15306.1;2285.9;469.4;350.6;356.8;659.2;190.1;897.3;612.3;2703.2;1633.8;343.8;1031.5;2111.5;431.9;234.4;843.1;106.5;44.9;
"   2000TIII";15542.2;2281.8;473.8;357.1;365.0;670.9;195.9;911.7;622.6;2773.8;1650.8;349.2;1053.9;2175.2;421.4;239.7;846.1;106.5;46.8;
"   2000TIV";15642.7;2329.0;472.0;354.4;351.3;690.9;195.0;911.8;619.6;2741.4;1695.5;356.4;1048.0;2191.2;439.8;238.9;853.2;108.6;45.7;
"   2001TI";15713.0;2418.9;468.3;355.4;331.9;695.9;200.7;905.4;622.7;2729.1;1709.2;353.7;1047.3;2194.7;433.8;236.7;856.0;108.8;44.4;
"   2001TII";15876.6;2395.0;470.4;361.6;370.6;686.9;205.2;916.5;627.2;2776.2;1700.8;361.2;1054.2;2246.6;441.4;236.0;871.4;108.8;46.8;
"   2001TIII";16071.6;2392.2;477.1;373.1;384.3;706.3;209.3;930.4;637.5;2793.2;1723.6;355.8;1079.3;2290.6;438.6;239.9;881.9;111.1;47.6;
"   2001TIV";16121.0;2453.2;471.0;366.6;361.9;726.9;210.9;922.5;637.5;2761.7;1760.1;356.6;1070.0;2303.4;440.3;237.7;880.0;111.6;49.0;
"   2002TI";16055.5;2498.2;467.9;367.1;355.6;730.0;205.3;914.4;632.7;2718.6;1742.1;357.5;1051.7;2299.3;445.5;236.3;876.6;110.4;46.3;
"   2002TII";16240.7;2526.4;471.3;368.5;381.7;733.5;208.4;927.8;644.3;2769.0;1738.6;361.8;1065.3;2318.2;449.0;236.5;881.0;111.5;47.9;
"   2002TIII";16356.9;2472.1;478.8;375.1;402.9;739.5;208.2;945.6;658.1;2805.4;1745.6;366.3;1084.0;2325.9;458.2;238.7;891.6;112.0;49.0;
"   2002TIV";16377.3;2499.9;480.0;377.8;373.4;748.5;210.1;938.6;655.8;2786.8;1772.3;363.6;1087.8;2330.4;458.6;238.2;895.3;111.2;49.0;
"   2003TI";16432.4;2550.5;478.4;370.1;357.3;760.8;208.4;936.1;649.3;2818.1;1768.7;362.0;1095.0;2329.1;458.1;236.3;892.7;112.2;49.3;
"   2003TII";16666.0;2588.3;486.1;379.2;392.8;765.2;214.8;938.3;659.2;2846.6;1774.0;379.6;1106.2;2349.7;476.2;240.1;906.8;113.6;49.3;
"   2003TIII";16817.8;2586.4;491.9;390.1;412.5;771.7;217.6;948.3;670.3;2892.9;1781.4;385.7;1115.7;2355.0;474.9;244.3;913.8;116.3;49.2;
"   2003TIV";16862.0;2615.2;489.1;397.0;384.4;785.4;219.8;941.5;666.6;2889.7;1819.4;375.7;1104.8;2375.5;481.5;242.7;910.4;112.7;50.8;
"   2004TI";16852.5;2654.8;495.2;389.5;369.9;777.9;215.5;931.0;661.8;2869.0;1821.6;373.8;1100.4;2411.3;474.9;243.9;898.6;113.6;50.0;
"   2004TII";17050.1;2659.2;498.9;387.9;404.5;779.8;219.4;947.3;668.3;2906.0;1838.3;380.0;1110.2;2445.6;486.7;245.2;905.3;117.4;50.1;
"   2004TIII";17240.4;2686.6;507.2;392.9;423.5;786.9;222.6;980.5;684.8;2920.7;1840.6;395.4;1128.4;2444.5;495.4;249.8;910.3;119.0;51.4;
"   2004TIV";17323.3;2750.3;501.4;383.6;398.4;799.3;216.7;971.6;684.6;2900.6;1884.1;387.1;1142.2;2465.1;494.9;250.4;918.9;122.6;51.7;
Notas:;;;;;;;;;;;;;;;;;;;;
"  1.- Los datos de paro desde el primer trimestre de 2001 en adelante reflejan  la nueva definicion de parado establecida en el Reglamento 1897/2000 de la  CE y no son directamente comparables con los de periodos anteriores. Ver  metodologÝa EPA-2002 para mßs informacion.";;;;;;;;;;;;;;;;;;;;
"  2.- Las estimaciones de Ceuta y Melilla no se publican desagregadas   porque el tamaño muestral en cada una de ellas no lo permite";;;;;;;;;;;;;;;;;;;;
